run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0025_upper,25,1,9.0,8.2113,8.2113,Al_undepleted,16.987,1,0.8238,0.2079,0.0526,0.35,0.3894,0.15,81518,MURCHISON,komatiite,upper,55.9092,0.8008,13.6036,10.4342,8.2113,10.9768,0.0641
p0025_lower,25,1,9.0,8.2113,8.2113,Al_undepleted,16.987,1,0.8238,0.2079,0.0526,0.35,0.3894,0.15,81518,MURCHISON,komatiite,lower,49.3429,0.2655,14.0022,6.5148,15.5328,13.4793,0.8624
p0026_upper,26,1,9.0,8.3883,8.3883,Al_undepleted,23.021,2,0.8478,0.2146,0.0549,0.35,0.3806,0.15,179888,East Pilbara Terrane,Basalt,upper,54.3827,0.6621,15.242,8.9459,8.3883,10.7963,1.5828
p0026_lower,26,1,9.0,8.3883,8.3883,Al_undepleted,23.021,2,0.8478,0.2146,0.0549,0.35,0.3806,0.15,179888,East Pilbara Terrane,Basalt,lower,49.1544,0.2447,14.0042,6.007,16.1841,13.3323,1.0733
p0027_upper,27,1,9.0,8.1928,8.1928,Al_undepleted,19.189,3,0.8317,0.2072,0.0524,0.35,0.3904,0.15,81452,MURCHISON,metabasalt,upper,53.9882,0.7773,14.915,9.848,8.1928,12.0791,0.1996
p0027_lower,27,1,9.0,8.1928,8.1928,Al_undepleted,19.189,3,0.8317,0.2072,0.0524,0.35,0.3904,0.15,81452,MURCHISON,metabasalt,lower,49.0807,0.262,14.2248,6.2929,15.5977,13.6575,0.8846
p0028_upper,28,1,9.0,8.2216,8.2216,Al_undepleted,20.247,4,0.8259,0.2083,0.0528,0.35,0.3889,0.15,100141,Kalgoorlie,basalt,upper,50.5786,0.8293,16.7913,10.2998,8.2216,9.9519,3.3275
p0028_lower,28,1,9.0,8.2216,8.2216,Al_undepleted,20.247,4,0.8259,0.2083,0.0528,0.35,0.3889,0.15,100141,Kalgoorlie,basalt,lower,48.5462,0.2698,14.4669,6.4687,15.5784,13.3184,1.3517
p0029_upper,29,1,9.0,8.1009,8.1009,Al_undepleted,20.985,5,0.849,0.2038,0.0513,0.35,0.395,0.15,80677,MURCHISON,basalt,upper,56.9155,0.7003,14.6966,8.5589,8.1009,10.5887,0.439
p0029_lower,29,1,9.0,8.1009,8.1009,Al_undepleted,20.985,5,0.849,0.2038,0.0513,0.35,0.395,0.15,80677,MURCHISON,basalt,lower,49.5867,0.2504,14.3187,5.7803,15.6386,13.4958,0.9295
p0030_upper,30,1,9.0,9.0001,9.0001,Al_undepleted,26.085,6,0.8499,0.2375,0.0625,0.35,0.35,0.15,142280,De Grey Superbasin (Bookingarra Gp.),Siliceous high-Mg basalt,upper,57.0771,0.4919,12.8303,9.4448,9.0001,8.5814,2.5744
p0030_lower,30,1,9.0,9.0001,9.0001,Al_undepleted,26.085,6,0.8499,0.2375,0.0625,0.35,0.35,0.15,142280,De Grey Superbasin (Bookingarra Gp.),Siliceous high-Mg basalt,lower,49.4635,0.2192,12.7978,6.3636,17.4082,12.5852,1.1624
p0031_upper,31,1,9.0,9.6248,9.6248,Al_undepleted,20.468,7,0.8633,0.2609,0.0703,0.35,0.3188,0.15,81327,MURCHISON,basalt,upper,58.0942,0.6486,13.276,9.0558,9.6248,8.4217,0.8788
p0031_lower,31,1,9.0,9.6248,9.6248,Al_undepleted,20.468,7,0.8633,0.2609,0.0703,0.35,0.3188,0.15,81327,MURCHISON,basalt,lower,49.5624,0.2429,12.0028,6.3589,18.8483,12.138,0.8467
p0032_upper,32,2,11.0,10.4544,10.4544,Al_depleted,10.6,0,0.8616,0.292,0.0807,0.35,0.2773,0.15,174435,East Pilbara Terrane,Komatiitic basalt,upper,53.9002,1.0371,10.9937,9.9761,10.4544,10.1121,3.5263
p0032_lower,32,2,11.0,10.4544,10.4544,Al_depleted,10.6,0,0.8616,0.292,0.0807,0.35,0.2773,0.15,174435,East Pilbara Terrane,Komatiitic basalt,lower,48.7929,0.3014,10.5156,6.9306,20.466,11.8301,1.1633
