run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0065_lower_tl30,65,4,15.0,14.1369,14.1369,Al_depleted,4.592,1,0.856,0.4568,0.1267,0.2966,0.1199,0.3,99938,Kalgoorlie,Komatiitic basalt,lower,47.3746,0.6434,6.0799,10.398,25.4693,9.605,0.4296
p0066_lower_tl30,66,4,15.0,14.6292,14.6292,Al_depleted,10.615,2,0.8805,0.4815,0.1329,0.2843,0.1014,0.3,81506,MURCHISON,amphibolite,lower,48.6756,0.305,5.329,9.164,27.0192,9.2381,0.2691
p0067_lower_tl30,67,4,15.0,14.3665,14.3665,Al_depleted,14.196,3,0.8949,0.4683,0.1296,0.2908,0.1113,0.3,180220,East Pilbara Terrane,Komatiitic basalt,lower,49.165,0.3097,6.3389,8.1026,26.8554,8.0485,1.1798
p0068_lower_tl30,68,4,15.0,14.4704,14.4704,Al_depleted,8.057,4,0.8724,0.4735,0.1309,0.2882,0.1074,0.3,165383,SOUTHERN CROSS,komatiitic basalt,lower,49.3557,0.4044,5.7402,9.5892,26.5049,8.1536,0.2519
p0069_lower_tl30,69,4,15.0,14.3665,14.3665,Al_depleted,14.196,5,0.8949,0.4683,0.1296,0.2908,0.1113,0.3,180220,East Pilbara Terrane,Komatiitic basalt,lower,49.165,0.3097,6.3389,8.1026,26.8554,8.0485,1.1798
p0070_lower_tl30,70,4,15.0,14.4704,14.4704,Al_depleted,8.057,6,0.8724,0.4735,0.1309,0.2882,0.1074,0.3,165383,SOUTHERN CROSS,komatiitic basalt,lower,49.3557,0.4044,5.7402,9.5892,26.5049,8.1536,0.2519
p0071_lower_tl30,71,4,15.0,14.1058,14.1058,Al_depleted,12.863,7,0.8785,0.4553,0.1263,0.2974,0.121,0.3,83457,MURCHISON,metabasalt,lower,48.7124,0.3325,6.5666,8.974,25.9387,9.1946,0.2812
p0072_lower_tl30,72,4,15.0,14.866,14.866,Al_undepleted,24.535,0,0.8969,0.4933,0.1358,0.2784,0.0925,0.3,81448,MURCHISON,komatiite,lower,48.35,0.2342,6.2694,8.2324,27.9122,8.7638,0.2379
p0073_lower_tl30,73,4,15.0,15.7466,15.7466,Al_undepleted,23.167,1,0.8983,0.5373,0.1468,0.2563,0.0595,0.3,83434,MURCHISON,metabasalt,lower,48.1984,0.2442,5.6706,8.5903,29.7247,7.4104,0.1613
p0074_lower_tl30,74,4,15.0,14.8296,14.8296,Al_undepleted,21.7,2,0.9097,0.4915,0.1354,0.2793,0.0939,0.3,81787,MURCHISON,komatiite,lower,50.0655,0.2599,6.4702,7.3863,28.1744,7.3448,0.2989
p0075_lower_tl30,75,4,15.0,14.239,14.239,Al_undepleted,26.163,3,0.8896,0.4619,0.128,0.294,0.116,0.3,204691,Kalgoorlie,Ultramafic,lower,47.4876,0.2375,7.0214,8.3628,26.4703,9.8016,0.6188
p0076_lower_tl30,76,4,15.0,14.866,14.866,Al_undepleted,24.535,4,0.8969,0.4933,0.1358,0.2784,0.0925,0.3,81448,MURCHISON,komatiite,lower,48.35,0.2342,6.2694,8.2324,27.9122,8.7638,0.2379
p0077_lower_tl30,77,4,15.0,15.362,15.362,Al_undepleted,16.944,5,0.8976,0.5181,0.142,0.2659,0.0739,0.3,83415,MURCHISON,komatiite,lower,49.4041,0.2677,5.42,8.4385,28.9312,7.3199,0.2186
p0078_lower_tl30,78,4,15.0,14.389,14.389,Al_undepleted,17.705,6,0.8832,0.4695,0.1299,0.2903,0.1104,0.3,81657,MURCHISON,komatiite,lower,48.1034,0.2945,6.7803,8.8463,26.6127,9.0935,0.2691
p0079_lower_tl30,79,4,15.0,14.866,14.866,Al_undepleted,24.535,7,0.8969,0.4933,0.1358,0.2784,0.0925,0.3,81448,MURCHISON,komatiite,lower,48.35,0.2342,6.2694,8.2324,27.9122,8.7638,0.2379
p0080_lower_tl30,80,5,17.0,17.4815,17.4815,Al_depleted,10.2,0,0.8925,0.6241,0.15,0.1944,0.0315,0.3,83459,MURCHISON,metabasalt,lower,47.2094,0.3259,3.9417,9.7843,32.3831,6.227,0.1286
p0081_lower_tl30,81,5,17.0,16.0548,16.0548,Al_depleted,10.482,1,0.8741,0.5527,0.15,0.2479,0.0493,0.3,83472,MURCHISON,metabasalt,lower,47.4727,0.3517,4.6415,10.4877,29.6196,7.271,0.1558
p0082_lower_tl30,82,5,17.0,17.5501,17.5501,Al_depleted,6.977,2,0.8706,0.6275,0.15,0.1919,0.0306,0.3,207666,MURCHISON,komatiite,lower,46.4125,0.3524,3.2889,11.5882,31.768,6.4727,0.1173
p0083_lower_tl30,83,5,17.0,17.4815,17.4815,Al_depleted,10.2,3,0.8925,0.6241,0.15,0.1944,0.0315,0.3,83459,MURCHISON,metabasalt,lower,47.2094,0.3259,3.9417,9.7843,32.3831,6.227,0.1286
p0084_lower_tl30,84,5,17.0,16.0548,16.0548,Al_depleted,10.482,4,0.8741,0.5527,0.15,0.2479,0.0493,0.3,83472,MURCHISON,metabasalt,lower,47.4727,0.3517,4.6415,10.4877,29.6196,7.271,0.1558
p0085_lower_tl30,85,5,17.0,17.4815,17.4815,Al_depleted,10.2,5,0.8925,0.6241,0.15,0.1944,0.0315,0.3,83459,MURCHISON,metabasalt,lower,47.2094,0.3259,3.9417,9.7843,32.3831,6.227,0.1286
p0086_lower_tl30,86,5,17.0,17.5501,17.5501,Al_depleted,6.977,6,0.8706,0.6275,0.15,0.1919,0.0306,0.3,207666,MURCHISON,komatiite,lower,46.4125,0.3524,3.2889,11.5882,31.768,6.4727,0.1173
p0087_lower_tl30,87,5,17.0,17.4815,17.4815,Al_depleted,10.2,7,0.8925,0.6241,0.15,0.1944,0.0315,0.3,83459,MURCHISON,metabasalt,lower,47.2094,0.3259,3.9417,9.7843,32.3831,6.227,0.1286
p0088_lower_tl30,88,5,17.0,16.447,16.447,Al_undepleted,18.5,0,0.8946,0.5724,0.15,0.2332,0.0444,0.3,211009,Kalgoorlie,basalt,lower,47.0938,0.226,4.359,9.1762,30.8287,8.0298,0.2865
p0089_lower_tl30,89,5,17.0,16.0878,16.0878,Al_undepleted,26.023,1,0.9027,0.5544,0.15,0.2467,0.0489,0.3,204561,Kalgoorlie,meta-ultramafic rock,lower,47.1973,0.2252,5.4244,8.437,30.5054,7.5548,0.656
p0090_lower_tl30,90,5,17.0,16.8195,16.8195,Al_undepleted,19.83,2,0.8958,0.591,0.15,0.2193,0.0398,0.3,91976,Kalgoorlie,Komatiitic basalt,lower,46.9295,0.224,4.4558,9.2414,31.4519,6.6794,1.018
p0091_lower_tl30,91,5,17.0,17.4442,17.4442,Al_undepleted,16.276,3,0.8973,0.6222,0.15,0.1958,0.0319,0.3,207511,SOUTHERN CROSS,komatiitic basalt,lower,46.6662,0.2556,4.3462,9.3908,32.4814,6.7341,0.1256
p0092_lower_tl30,92,5,17.0,17.2404,17.2404,Al_undepleted,22.209,4,0.8918,0.612,0.15,0.2035,0.0345,0.3,91863,Kalgoorlie,Komatiitic basalt,lower,47.1168,0.21,4.4406,9.7353,31.9827,6.342,0.1726
p0093_lower_tl30,93,5,17.0,17.2941,17.2941,Al_undepleted,24.634,5,0.8869,0.6147,0.15,0.2015,0.0338,0.3,91968,Kalgoorlie,Komatiitic basalt,lower,46.7305,0.2035,4.6027,10.143,31.9088,6.193,0.2185
p0094_lower_tl30,94,5,17.0,16.447,16.447,Al_undepleted,18.5,6,0.8946,0.5724,0.15,0.2332,0.0444,0.3,211009,Kalgoorlie,basalt,lower,47.0938,0.226,4.359,9.1762,30.8287,8.0298,0.2865
p0095_lower_tl30,95,5,17.0,17.4442,17.4442,Al_undepleted,16.276,7,0.8973,0.6222,0.15,0.1958,0.0319,0.3,207511,SOUTHERN CROSS,komatiitic basalt,lower,46.6662,0.2556,4.3462,9.3908,32.4814,6.7341,0.1256
